State,Year,Nitrogen (%),Nitrogen (Pounds/Acre),Phosphorous (%),Phosphorous (Pounds/Acre),Potash (%),Potash (Pounds/Acre),Area Planted (acres),Harvested Area (acres),Lint Yield (Pounds/Harvested Acre)
Mississippi,2017,99,116,47,52,60,91,720,710,1082
Missouri,1964,100,85,95,58,95,59,NA,NA,NA
Missouri,1965,99,64,96,46,96,49,NA,NA,NA
Missouri,1966,94,71,96,57,96,61,NA,NA,NA
Missouri,1967,99,50,94,53,94,56,NA,NA,NA
Missouri,1968,93,54,92,48,92,52,NA,NA,NA
Missouri,1969,94,56,91,49,91,57,NA,NA,NA
Missouri,1970,90,57,84,42,84,44,NA,NA,NA
Missouri,1971,99,55,84,45,87,50,NA,NA,NA
Missouri,1972,100,63,91,51,91,56,NA,NA,NA
Missouri,1973,88,47,94,54,97,77,220,210,449
Missouri,1974,97,60,85,51,89,73,305,260,305
Missouri,1975,96,56,84,43,87,56,270,258,437
Missouri,1976,90,36,91,47,91,57,210,182,496
Missouri,1977,96,49,83,39,88,62,157,137,550
Missouri,1978,91,44,88,48,94,51,245,241,353
Missouri,1979,96,52,96,50,100,52,242,183,441
Missouri,1980,100,55,78,45,100,75,154,151,648
Missouri,1981,92,47,75,37,85,67,108,93,377
Missouri,1982,100,54,83,31,83,80,164,162,554
Missouri,1983,100,44,100,39,100,68,152,150,653
Missouri,1984,100,70,100,31,100,66,178,160,588
Missouri,1985,98,56,68,35,98,62,200,199,796
Missouri,1986,100,57,82,48,88,63,245,242,607
Missouri,1987,NA,NA,NA,NA,NA,NA,214,209,618
Missouri,1988,NA,NA,NA,NA,NA,NA,248,235,641
Missouri,1989,NA,NA,NA,NA,NA,NA,332,327,630
Missouri,1990,NA,NA,NA,NA,NA,NA,335,328,792
Missouri,1991,NA,NA,NA,NA,NA,NA,345,335,539
Missouri,1992,NA,NA,NA,NA,NA,NA,352,345,856
Missouri,1993,NA,NA,NA,NA,NA,NA,462,453,544
Missouri,1994,NA,NA,NA,NA,NA,NA,390,385,737
Missouri,1995,NA,NA,NA,NA,NA,NA,395,390,695
Missouri,1996,NA,NA,NA,NA,NA,NA,370,357,471
Missouri,1997,100,112,72,37,95,78,380,377,601
Missouri,1998,NA,NA,NA,NA,NA,NA,400,388,668
Missouri,1999,NA,NA,NA,NA,NA,NA,405,400,834
Missouri,2000,100,101,86,34,95,88,380,368,796
Missouri,2001,NA,NA,NA,NA,NA,NA,400,390,862
Missouri,2002,NA,NA,NA,NA,NA,NA,380,378,1054
Missouri,2003,100,89,73,40,81,80,440,438,947
Missouri,2004,NA,NA,NA,NA,NA,NA,500,496,953
Missouri,2005,NA,NA,NA,NA,NA,NA,380,379,968
Missouri,2006,NA,NA,NA,NA,NA,NA,306,303,1106
Missouri,2007,98,97,88,31,95,68,272,260,927
Missouri,2008,NA,NA,NA,NA,NA,NA,310,308,1068
Missouri,2009,NA,NA,NA,NA,NA,NA,375,367,969
Missouri,2010,100,130,81,48,93,87,350,330,1063
Missouri,2011,NA,NA,NA,NA,NA,NA,255,246,968
Missouri,2012,NA,NA,NA,NA,NA,NA,250,245,1117
Missouri,2013,NA,NA,NA,NA,NA,NA,185,175,1097
Missouri,2014,NA,NA,NA,NA,NA,NA,280,266,1021
Missouri,2015,100,96,74,35,92,62,305,297,1212
Missouri,2016,NA,NA,NA,NA,NA,NA,325,322,1373
Missouri,2017,98,112,87,46,96,70,380,368,1265
New Mexico,1964,63,85,58,60,NA,NA,NA,NA,NA
New Mexico,1965,71,81,45,79,5,28,NA,NA,NA
New Mexico,1966,52,73,44,64,9,23,NA,NA,NA
New Mexico,1967,67,67,57,70,9,40,NA,NA,NA
New Mexico,1968,67,83,62,74,13,41,NA,NA,NA
New Mexico,1969,57,92,48,77,NA,NA,NA,NA,NA
New Mexico,1970,61,72,50,85,6,17,NA,NA,NA
New Mexico,1971,56,70,42,50,11,12,NA,NA,NA
New Mexico,1972,61,69,63,69,9,31,NA,NA,NA
New Mexico,1973,64,60,38,64,5,18,95,85,382
New Mexico,1974,52,49,48,57,16,26,68,64,523
New Mexico,1975,45,54,32,58,13,18,131,128,603
New Mexico,1976,56,59,38,59,8,22,137,109,443
New Mexico,1977,NA,NA,NA,NA,NA,NA,154,126,396
New Mexico,1978,NA,NA,NA,NA,NA,NA,151,120,428
New Mexico,1979,70,61,51,54,14,15,136,106,602
New Mexico,1980,40,64,28,51,2,10,79,68,551
New Mexico,1981,65,58,42,50,12,19,56,47,715
New Mexico,1982,47,64,30,57,8,37,77,69,605
New Mexico,1983,54,88,30,49,9,1,70,54,631
New Mexico,1984,66,71,34,64,14,6,63,50,595
New Mexico,1985,59,58,47,48,2,14,66,62,689
New Mexico,1986,49,54,28,60,3,6,77,69,710
New Mexico,1987,NA,NA,NA,NA,NA,NA,61,55,698
New Mexico,1988,NA,NA,NA,NA,NA,NA,69,62,735
New Mexico,1989,NA,NA,NA,NA,NA,NA,69,65,465
New Mexico,1990,NA,NA,NA,NA,NA,NA,55,37,616
New Mexico,1991,NA,NA,NA,NA,NA,NA,54,49,769
New Mexico,1992,NA,NA,NA,NA,NA,NA,55,50,720
New Mexico,1993,NA,NA,NA,NA,NA,NA,61,56,609
New Mexico,1994,NA,NA,NA,NA,NA,NA,59,55,733
New Mexico,1995,NA,NA,NA,NA,NA,NA,70,66,676
New Mexico,1996,NA,NA,NA,NA,NA,NA,66,60,640
New Mexico,1997,NA,NA,NA,NA,NA,NA,84,79,662
New Mexico,1998,NA,NA,NA,NA,NA,NA,72,67,724
New Mexico,1999,NA,NA,NA,NA,NA,NA,68,65,916
New Mexico,2000,NA,NA,NA,NA,NA,NA,54,50,816
New Mexico,2001,NA,NA,NA,NA,NA,NA,53,38,884
New Mexico,2002,NA,NA,NA,NA,NA,NA,68,64,848
New Mexico,2003,NA,NA,NA,NA,NA,NA,56,51,1016
New Mexico,2004,NA,NA,NA,NA,NA,NA,50,48,930
New Mexico,2005,NA,NA,NA,NA,NA,NA,43,39,1095
New Mexico,2006,NA,NA,NA,NA,NA,NA,38,35,974
New Mexico,2007,NA,NA,NA,NA,NA,NA,31,30,1172
New Mexico,2008,NA,NA,NA,NA,NA,NA,48,47,1174
New Mexico,2009,NA,NA,NA,NA,NA,NA,70,58,1059
New Mexico,2010,NA,NA,NA,NA,NA,NA,45,38,1048
New Mexico,2011,NA,NA,NA,NA,NA,NA,39,31,929
New Mexico,2012,NA,NA,NA,NA,NA,NA,43,33,931
New Mexico,2013,NA,NA,NA,NA,NA,NA,35,31,929
New Mexico,2014,NA,NA,NA,NA,NA,NA,47,41,1030
New Mexico,2015,NA,NA,NA,NA,NA,NA,66,46,1179
New Mexico,2016,NA,NA,NA,NA,NA,NA,77,56,977
New Mexico,2017,NA,NA,NA,NA,NA,NA,63,45,1173
North Carolina,1964,100,65,100,54,100,69,NA,NA,NA
North Carolina,1965,100,90,100,54,100,69,NA,NA,NA
North Carolina,1966,98,63,95,53,98,68,NA,NA,NA
North Carolina,1967,100,69,100,65,100,80,NA,NA,NA
North Carolina,1968,100,74,100,54,100,75,NA,NA,NA
North Carolina,1969,99,62,90,54,90,70,NA,NA,NA
North Carolina,1970,100,67,100,55,100,75,NA,NA,NA
North Carolina,1971,100,53,98,53,100,70,NA,NA,NA
North Carolina,1972,100,66,100,57,100,84,NA,NA,NA
North Carolina,1973,98,86,95,68,98,92,56,53,412
North Carolina,1974,100,70,100,56,100,90,75,71,489
North Carolina,1975,100,84,91,52,98,82,87,83,305
North Carolina,1976,100,102,91,44,100,81,45,42,515
North Carolina,1977,NA,NA,NA,NA,NA,NA,46,45,455
North Carolina,1978,NA,NA,NA,NA,NA,NA,66,65,381
North Carolina,1979,NA,NA,NA,NA,NA,NA,83,82,558
North Carolina,1980,NA,NA,NA,NA,NA,NA,71,70,699
North Carolina,1981,NA,NA,NA,NA,NA,NA,60,59,350
North Carolina,1982,NA,NA,NA,NA,NA,NA,97,96,600
North Carolina,1983,NA,NA,NA,NA,NA,NA,88,87,646
North Carolina,1984,NA,NA,NA,NA,NA,NA,82,81,646
North Carolina,1985,NA,NA,NA,NA,NA,NA,96,95,495
North Carolina,1986,NA,NA,NA,NA,NA,NA,126,124,515
North Carolina,1987,NA,NA,NA,NA,NA,NA,112,110,615
North Carolina,1988,NA,NA,NA,NA,NA,NA,201,200,631
North Carolina,1989,NA,NA,NA,NA,NA,NA,460,457,672
North Carolina,1990,NA,NA,NA,NA,NA,NA,380,377,596
North Carolina,1991,NA,NA,NA,NA,NA,NA,390,385,535
North Carolina,1992,NA,NA,NA,NA,NA,NA,486,485,820
North Carolina,1993,NA,NA,NA,NA,NA,NA,805,800,479
North Carolina,1994,NA,NA,NA,NA,NA,NA,740,730,659
North Carolina,1995,NA,NA,NA,NA,NA,NA,690,685,652
North Carolina,1996,NA,NA,NA,NA,NA,NA,710,705,699
North Carolina,1997,92,62,64,38,85,99,880,825,475
North Carolina,1998,98,87,90,55,93,108,930,925,742
North Carolina,1999,96,78,89,47,96,107,970,965,832
North Carolina,2000,96,85,80,47,91,116,940,920,421
North Carolina,2001,NA,NA,NA,NA,NA,NA,810,770,646
North Carolina,2002,NA,NA,NA,NA,NA,NA,730,725,900
North Carolina,2003,97,76,74,41,93,106,815,810,852
North Carolina,2004,NA,NA,NA,NA,NA,NA,870,865,713
North Carolina,2005,NA,NA,NA,NA,NA,NA,500,490,767
North Carolina,2006,NA,NA,NA,NA,NA,NA,430,428,847
North Carolina,2007,92,68,71,31,89,99,375,370,990
North Carolina,2008,NA,NA,NA,NA,NA,NA,550,545,838
North Carolina,2009,NA,NA,NA,NA,NA,NA,805,800,616
North Carolina,2010,98,66,68,46,87,96,585,580,1014
North Carolina,2011,NA,NA,NA,NA,NA,NA,465,460,799
North Carolina,2012,NA,NA,NA,NA,NA,NA,465,460,1038
North Carolina,2013,NA,NA,NA,NA,NA,NA,385,355,713
North Carolina,2014,NA,NA,NA,NA,NA,NA,280,255,646
North Carolina,2015,99,66,75,37,89,80,375,367,969
North Carolina,2016,NA,NA,NA,NA,NA,NA,430,415,812
North Carolina,2017,96,85,67,49,87,98,510,495,931
Oklahoma,1964,51,28,49,28,33,14,NA,NA,NA
Oklahoma,1965,55,30,48,27,40,14,NA,NA,NA
Oklahoma,1966,50,28,45,33,40,19,NA,NA,NA
Oklahoma,1967,51,19,45,23,41,13,NA,NA,NA
Oklahoma,1968,41,28,38,28,35,14,NA,NA,NA
Oklahoma,1969,53,27,50,37,42,17,NA,NA,NA
Oklahoma,1970,50,25,43,27,33,13,NA,NA,NA
Oklahoma,1971,44,31,38,36,37,15,NA,NA,NA
Oklahoma,1972,46,32,42,38,35,26,NA,NA,NA
Oklahoma,1973,50,34,45,33,35,17,360,295,277
Oklahoma,1974,47,21,43,30,41,15,350,335,251
Oklahoma,1975,29,28,29,29,16,16,535,520,402
Oklahoma,1976,61,34,55,31,40,14,605,585,292
Oklahoma,1977,60,27,58,38,26,15,600,580,432
Oklahoma,1978,61,34,61,39,35,15,715,565,174
Oklahoma,1979,55,32,51,43,34,23,650,640,330
Oklahoma,1980,67,32,58,30,28,15,480,450,254
Oklahoma,1981,43,50,34,46,15,24,320,300,232
Oklahoma,1982,43,34,19,29,15,23,425,375,234
Oklahoma,1983,57,45,52,36,26,18,370,360,380
Oklahoma,1984,66,53,42,42,4,12,400,350,288
Oklahoma,1985,59,34,32,34,3,10,400,385,431
Oklahoma,1986,46,29,39,29,25,15,460,435,334
Oklahoma,1987,NA,NA,NA,NA,NA,NA,370,340,244
Oklahoma,1988,NA,NA,NA,NA,NA,NA,380,370,496
Oklahoma,1989,NA,NA,NA,NA,NA,NA,440,380,303
Oklahoma,1990,NA,NA,NA,NA,NA,NA,370,315,320
Oklahoma,1991,NA,NA,NA,NA,NA,NA,370,350,370
Oklahoma,1992,NA,NA,NA,NA,NA,NA,360,340,349
Oklahoma,1993,NA,NA,NA,NA,NA,NA,380,315,187
Oklahoma,1994,NA,NA,NA,NA,NA,NA,290,210,306
Oklahoma,1995,NA,NA,NA,NA,NA,NA,200,190,462
Oklahoma,1996,NA,NA,NA,NA,NA,NA,160,120,560
Oklahoma,1997,NA,NA,NA,NA,NA,NA,240,150,461
Oklahoma,1998,NA,NA,NA,NA,NA,NA,280,145,503
Oklahoma,1999,NA,NA,NA,NA,NA,NA,270,185,511
Oklahoma,2000,NA,NA,NA,NA,NA,NA,200,180,557
Oklahoma,2001,NA,NA,NA,NA,NA,NA,180,170,616
Oklahoma,2002,NA,NA,NA,NA,NA,NA,220,200,727
Oklahoma,2003,NA,NA,NA,NA,NA,NA,255,240,716
Oklahoma,2004,NA,NA,NA,NA,NA,NA,320,180,541
Oklahoma,2005,NA,NA,NA,NA,NA,NA,175,165,817
Oklahoma,2006,NA,NA,NA,NA,NA,NA,170,155,811
Oklahoma,2007,NA,NA,NA,NA,NA,NA,205,195,785
Oklahoma,2008,NA,NA,NA,NA,NA,NA,285,270,750
Oklahoma,2009,NA,NA,NA,NA,NA,NA,415,70,597
Oklahoma,2010,NA,NA,NA,NA,NA,NA,305,140,531
Oklahoma,2011,NA,NA,NA,NA,NA,NA,185,120,616
Oklahoma,2012,NA,NA,NA,NA,NA,NA,245,210,615
Oklahoma,2013,NA,NA,NA,NA,NA,NA,215,205,876
Oklahoma,2014,NA,NA,NA,NA,NA,NA,305,290,1021
Oklahoma,2015,NA,NA,NA,NA,NA,NA,590,555,882
Oklahoma,2016,NA,NA,NA,NA,NA,NA,780,550,595
Oklahoma,2017,54,102,44,45,19,44,650,575,609
South Carolina,1964,100,68,100,76,100,88,NA,NA,NA
South Carolina,1965,100,78,100,81,100,89,NA,NA,NA
South Carolina,1966,100,101,100,85,100,90,NA,NA,NA
South Carolina,1967,100,91,100,85,100,89,NA,NA,NA
South Carolina,1968,100,101,100,89,100,101,NA,NA,NA
South Carolina,1969,99,88,97,84,97,98,NA,NA,NA
South Carolina,1970,100,80,100,71,100,90,NA,NA,NA
South Carolina,1971,99,88,97,78,99,96,NA,NA,NA
South Carolina,1972,99,95,97,77,99,102,NA,NA,NA
South Carolina,1973,100,99,99,72,99,102,107,103,454
South Carolina,1974,100,101,94,69,99,108,170,159,438
South Carolina,1975,99,109,91,66,100,99,170,153,342
South Carolina,1976,100,92,100,63,100,113,105,98,562
South Carolina,1977,100,125,94,65,99,110,110,109,510
South Carolina,1978,NA,NA,NA,NA,NA,NA,122,120,309
South Carolina,1979,100,84,87,51,100,102,119,118,667
South Carolina,1980,100,78,97,60,92,97,97,95,783
South Carolina,1981,100,81,83,42,97,97,69,69,369
South Carolina,1982,100,84,83,44,86,84,104,104,785
South Carolina,1983,100,107,83,42,100,102,124,122,708
South Carolina,1984,98,95,87,47,98,103,118,113,370
South Carolina,1985,100,92,83,51,98,90,120,119,428
South Carolina,1986,96,84,77,58,85,96,145,142,473
South Carolina,1987,NA,NA,NA,NA,NA,NA,120,118,626
South Carolina,1988,NA,NA,NA,NA,NA,NA,155,154,452
South Carolina,1989,NA,NA,NA,NA,NA,NA,211,210,786
South Carolina,1990,NA,NA,NA,NA,NA,NA,197,192,565
South Carolina,1991,NA,NA,NA,NA,NA,NA,202,198,495
South Carolina,1992,NA,NA,NA,NA,NA,NA,225,223,846
South Carolina,1993,NA,NA,NA,NA,NA,NA,348,342,528
South Carolina,1994,NA,NA,NA,NA,NA,NA,284,282,774
South Carolina,1995,NA,NA,NA,NA,NA,NA,290,286,688
South Carolina,1996,NA,NA,NA,NA,NA,NA,290,286,587
South Carolina,1997,100,92,100,54,100,118,330,315,428
South Carolina,1998,NA,NA,NA,NA,NA,NA,300,290,627
South Carolina,1999,NA,NA,NA,NA,NA,NA,300,296,686
South Carolina,2000,NA,NA,NA,NA,NA,NA,290,200,314
South Carolina,2001,NA,NA,NA,NA,NA,NA,220,218,718
South Carolina,2002,NA,NA,NA,NA,NA,NA,215,214,875
South Carolina,2003,95,77,78,46,90,109,266,265,743
South Carolina,2004,NA,NA,NA,NA,NA,NA,300,298,697
South Carolina,2005,NA,NA,NA,NA,NA,NA,180,158,486
South Carolina,2006,NA,NA,NA,NA,NA,NA,135,134,881
South Carolina,2007,99,91,79,46,94,94,115,114,872
South Carolina,2008,NA,NA,NA,NA,NA,NA,202,201,898
South Carolina,2009,NA,NA,NA,NA,NA,NA,303,301,828
South Carolina,2010,NA,NA,NA,NA,NA,NA,299,298,955
South Carolina,2011,NA,NA,NA,NA,NA,NA,258,250,691
South Carolina,2012,NA,NA,NA,NA,NA,NA,280,278,912
South Carolina,2013,NA,NA,NA,NA,NA,NA,235,136,547
South Carolina,2014,NA,NA,NA,NA,NA,NA,190,183,656
South Carolina,2015,99,86,73,39,96,105,250,248,912
South Carolina,2016,NA,NA,NA,NA,NA,NA,300,275,733
South Carolina,2017,NA,NA,NA,NA,NA,NA,300,295,814
Tennessee,1964,98,67,97,53,98,56,NA,NA,NA
Tennessee,1965,100,71,92,57,93,62,NA,NA,NA
Tennessee,1966,92,85,89,64,90,66,NA,NA,NA
Tennessee,1967,97,61,91,61,92,63,NA,NA,NA
Tennessee,1968,99,51,89,58,90,59,NA,NA,NA
Tennessee,1969,100,67,97,57,97,60,NA,NA,NA
Tennessee,1970,96,61,96,62,96,64,NA,NA,NA
Tennessee,1971,99,72,93,63,93,63,NA,NA,NA
Tennessee,1972,95,69,94,61,95,64,NA,NA,NA
Tennessee,1973,100,67,100,69,100,69,335,315,339
Tennessee,1974,100,66,96,60,98,61,420,370,295
Tennessee,1975,100,69,98,52,99,58,325,300,407
Tennessee,1976,91,71,91,59,91,64,250,230,490
Tennessee,1977,96,68,92,67,92,69,250,230,357
Tennessee,1978,97,74,95,69,95,74,290,275,349
Tennessee,1979,99,76,99,74,99,79,325,305,496
Tennessee,1980,100,73,94,64,94,74,260,255,638
Tennessee,1981,NA,NA,NA,NA,NA,NA,220,215,337
Tennessee,1982,97,67,97,62,97,68,340,325,498
Tennessee,1983,100,91,100,65,100,71,340,335,600
Tennessee,1984,100,82,100,62,100,68,340,335,567
Tennessee,1985,99,78,97,61,94,67,440,435,700
Tennessee,1986,100,75,100,65,100,71,535,530,529
Tennessee,1987,NA,NA,NA,NA,NA,NA,465,460,497
Tennessee,1988,NA,NA,NA,NA,NA,NA,525,515,461
Tennessee,1989,NA,NA,NA,NA,NA,NA,620,610,552
Tennessee,1990,NA,NA,NA,NA,NA,NA,625,615,651
Tennessee,1991,NA,NA,NA,NA,NA,NA,625,615,425
Tennessee,1992,NA,NA,NA,NA,NA,NA,590,585,726
Tennessee,1993,NA,NA,NA,NA,NA,NA,700,660,527
Tennessee,1994,NA,NA,NA,NA,NA,NA,540,530,611
Tennessee,1995,NA,NA,NA,NA,NA,NA,490,480,662
Tennessee,1996,100,89,99,60,99,88,450,445,589
Tennessee,1997,100,92,99,56,99,88,570,565,505
Tennessee,1998,99,95,100,63,100,91,570,565,603
Tennessee,1999,100,90,99,54,100,89,620,615,763
Tennessee,2000,99,84,93,56,98,90,565,530,741
Tennessee,2001,NA,NA,NA,NA,NA,NA,560,530,806
Tennessee,2002,NA,NA,NA,NA,NA,NA,530,525,900
Tennessee,2003,97,92,92,53,96,86,640,635,848
Tennessee,2004,NA,NA,NA,NA,NA,NA,700,695,945
Tennessee,2005,NA,NA,NA,NA,NA,NA,515,510,565
Tennessee,2006,NA,NA,NA,NA,NA,NA,285,280,909
Tennessee,2007,100,102,95,51,100,88,300,280,843
Tennessee,2008,NA,NA,NA,NA,NA,NA,390,387,845
Tennessee,2009,NA,NA,NA,NA,NA,NA,495,490,796
Tennessee,2010,100,95,96,51,99,87,380,377,946
Tennessee,2011,NA,NA,NA,NA,NA,NA,250,233,853
Tennessee,2012,NA,NA,NA,NA,NA,NA,275,270,878
Tennessee,2013,NA,NA,NA,NA,NA,NA,155,140,1046
Tennessee,2014,NA,NA,NA,NA,NA,NA,255,250,1104
Tennessee,2015,100,111,96,66,49,91,345,340,1033
Tennessee,2016,NA,NA,NA,NA,NA,NA,360,355,1041
Tennessee,2017,100,101,99,55,95,91,410,400,1116
Texas,1964,50,59,38,46,10,16,NA,NA,NA
Texas,1965,55,62,40,44,11,18,NA,NA,NA
Texas,1966,51,62,40,45,14,18,NA,NA,NA
Texas,1967,47,55,39,43,12,20,NA,NA,NA
Texas,1968,45,51,37,44,18,18,NA,NA,NA
Texas,1969,48,61,34,46,14,21,NA,NA,NA
Texas,1970,48,57,30,45,13,21,NA,NA,NA
Texas,1971,50,57,30,42,12,17,NA,NA,NA
Texas,1972,51,53,36,44,11,19,NA,NA,NA
Texas,1973,53,46,41,45,15,14,4350,3900,293
Texas,1974,55,48,47,43,24,17,4800,4500,353
Texas,1975,32,39,23,39,9,12,6650,6450,407
Texas,1976,49,52,40,43,13,16,6950,6200,294
Texas,1977,59,45,45,47,15,14,7700,6800,389
Texas,1978,41,50,28,42,9,16,7850,6850,233
Texas,1979,53,45,45,45,17,16,7460,7200,376
Texas,1980,50,43,43,39,18,14,5800,4300,301
Texas,1981,60,44,53,40,21,20,4000,3550,322
Texas,1982,39,41,28,30,13,20,5350,4700,376
Texas,1983,41,52,31,40,14,22,5000,4650,404
Texas,1984,55,47,39,39,18,15,4850,3450,353
Texas,1985,57,49,47,39,22,21,4700,4400,506
Texas,1986,56,45,44,35,18,13,5600,5300,472
Texas,1987,57,51,46,37,23,14,4650,3750,367
Texas,1988,68,45,56,38,22,13,5500,5000,477
Texas,1989,63,48,53,37,22,12,6300,5400,419
Texas,1990,66,59,48,40,20,17,5500,3550,441
Texas,1991,70,69,53,41,25,23,5550,5050,484
Texas,1992,65,66,48,44,27,20,5450,5150,458
Texas,1993,77,64,58,43,26,21,6400,5750,372
Texas,1994,78,71,60,38,25,20,5700,4100,509
Texas,1995,79,62,63,38,32,15,5500,5200,474
Texas,1996,55,80,47,39,20,21,5650,3300,524
Texas,1997,82,63,62,37,29,16,6150,5100,475
Texas,1998,68,62,56,38,27,19,6400,4400,430
Texas,1999,71,64,45,41,23,18,6000,4250,481
Texas,2000,63,68,54,40,26,19,5600,4500,538
Texas,2001,52,63,37,38,14,19,5600,4350,478
Texas,2002,NA,NA,NA,NA,NA,NA,5850,5350,694
Texas,2003,61,76,50,50,20,25,5950,5600,723
Texas,2004,NA,NA,NA,NA,NA,NA,6400,4100,679
Texas,2005,NA,NA,NA,NA,NA,NA,4900,4700,843
Texas,2006,NA,NA,NA,NA,NA,NA,5000,3250,659
Texas,2007,86,82,60,37,24,17,5000,3500,634
Texas,2008,NA,NA,NA,NA,NA,NA,5550,5350,703
Texas,2009,NA,NA,NA,NA,NA,NA,7550,2850,589
Texas,2010,85,63,52,32,30,15,6500,3800,632
Texas,2011,NA,NA,NA,NA,NA,NA,5800,3100,646
Texas,2012,NA,NA,NA,NA,NA,NA,6300,4600,644
Texas,2013,NA,NA,NA,NA,NA,NA,4800,4500,610
Texas,2014,NA,NA,NA,NA,NA,NA,5650,5200,748
Texas,2015,66,65,46,34,16,14,7000,5500,809
Texas,2016,NA,NA,NA,NA,NA,NA,7750,4350,756
Texas,2017,68,77,52,37,25,20,7050,6000,568